trainee_id,interests,skills,goals,notes
متدرب-001,"بايثون, كشف الشذوذ والأنماط, أدلة رقمية","إدارة الثغرات الأمنية, أساسيات تحليل البرمجيات الخبيثة, التحليل الجنائي للأجهزة الذكية",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-002,"مركز عمليات أمنية, ذكاء اصطناعي للأمن, أدلة الأجهزة الذكية, احتيال مالي, تحليل بيانات","أساسيات SQL, التحليل الجنائي للشبكات, أساسيات تحليل البرمجيات الخبيثة, الاستجابة للحوادث السيبرانية",ترقية وظيفية/رفع جاهزية الأداء,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-003,"البحث عن التهديدات, بايثون, برمجيات فدية","أساسيات أنظمة SIEM, أساسيات SQL, تحليل السجلات",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-004,,,,
متدرب-005,"سلسلة حفظ الأدلة, جرائم معلوماتية, تصيد احتيالي, بايثون, مركز عمليات أمنية","OSINT (استخبارات المصادر المفتوحة), القيادة الأساسية, تحليل السجلات",تحسين كتابة التقارير والمخرجات الرسمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-006,"برمجيات فدية, تصيد احتيالي, مركز عمليات أمنية","توثيق القضايا وكتابة المحاضر, أساسيات SQL, تحليل السجلات, إدارة الأزمات, كتابة التقارير المهنية",التخصص في الأدلة الرقمية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-007,"أدلة الأجهزة الذكية, أدلة الشبكات, أدلة رقمية, الاستجابة للحوادث, سلسلة حفظ الأدلة","التحليل الجنائي للأجهزة الذكية, البحث عن التهديدات, القيادة الأساسية",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-008,"احتيال مالي, أدلة رقمية, إجراءات نظامية وإثباتات, البحث عن التهديدات, الاستجابة للحوادث","القيادة الأساسية, أساسيات أنظمة SIEM",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-009,"الاستجابة للحوادث, سلسلة حفظ الأدلة, البحث عن التهديدات, تحليل برمجيات خبيثة (أساسيات), برمجيات فدية","البحث عن التهديدات, أساسيات التحقيق الجنائي, OSINT (استخبارات المصادر المفتوحة)",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-010,"احتيال مالي, تحليل بيانات, مركز عمليات أمنية","الإجراءات النظامية ذات العلاقة, كتابة التقارير المهنية, توثيق القضايا وكتابة المحاضر, التحليل الجنائي للشبكات, البحث عن التهديدات",التخصص في الأدلة الرقمية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-011,"البحث عن التهديدات, تحليل بيانات, الاستجابة للحوادث","أساسيات SQL, إدارة الأزمات, كتابة التقارير المهنية, الاستجابة للحوادث السيبرانية, أساسيات تحليل البرمجيات الخبيثة",التخصص في الأدلة الرقمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-012,"تصيد احتيالي, الاستجابة للحوادث, أدلة الشبكات, تحليل بيانات","التحليل الجنائي للذاكرة, تحليل السجلات, الإجراءات النظامية ذات العلاقة, التواصل والعرض, أساسيات بايثون للتحليل",الانتقال لمسار الأمن السيبراني,يرغب في تطبيق عملي وحالات واقعية.
متدرب-013,"برمجيات فدية, تحليل بيانات, احتيال مالي","أساسيات تحليل البرمجيات الخبيثة, OSINT (استخبارات المصادر المفتوحة), أساسيات التحقيق الجنائي",تطوير مهارات التحقيق,يركز على تحسين كتابة التقارير الرسمية.
متدرب-014,"كشف الشذوذ والأنماط, أدلة الشبكات, احتيال مالي","أساسيات SQL, تحليل أجهزة التخزين, التحليل الجنائي للذاكرة",الانتقال لمسار الأمن السيبراني,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-015,"سلسلة حفظ الأدلة, أدلة رقمية","أساسيات بايثون للتحليل, التحليل الجنائي للأجهزة الذكية, القيادة الأساسية",الاستعداد للعمل في مركز عمليات أمنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-016,"أدلة رقمية, جرائم معلوماتية","القيادة الأساسية, التحليل الجنائي للذاكرة, أساسيات SQL, أساسيات مركز العمليات الأمنية (SOC)",تطوير مهارات التحقيق,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-017,"OSINT, SQL, برمجيات فدية","البحث عن التهديدات, إدارة الثغرات الأمنية",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-018,"SQL, إجراءات نظامية وإثباتات, تصيد احتيالي, تحليل برمجيات خبيثة (أساسيات), مركز عمليات أمنية","أساسيات تحليل البرمجيات الخبيثة, أساسيات التحقيق الجنائي, توثيق القضايا وكتابة المحاضر, البحث عن التهديدات, أساسيات أنظمة SIEM",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-019,"احتيال مالي, تحليل برمجيات خبيثة (أساسيات), SIEM وتحليل تنبيهات, أدلة رقمية, كشف الشذوذ والأنماط","التحليل الجنائي للأجهزة الذكية, OSINT (استخبارات المصادر المفتوحة), أساسيات تحليل البرمجيات الخبيثة",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-020,"تحليل بيانات, SQL, OSINT, برمجيات فدية","أساسيات تحليل البرمجيات الخبيثة, أخلاقيات العمل والامتثال",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-021,"OSINT, SIEM وتحليل تنبيهات, تحليل بيانات","الاستجابة للحوادث السيبرانية, إدارة الأزمات, الإجراءات النظامية ذات العلاقة, أساسيات مركز العمليات الأمنية (SOC), التواصل والعرض",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-022,"احتيال مالي, تحليل برمجيات خبيثة (أساسيات), كشف الشذوذ والأنماط, ذكاء اصطناعي للأمن, OSINT","إدارة الأزمات, تحليل السجلات",الاستعداد للعمل في مركز عمليات أمنية,يريد فهم آليات الاستجابة للحوادث.
